date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Mar 28 2018 - 12:00am,Iceland,Peru,1,3,1,39,61,3,8,0,0,0,9,14,14,8
Mar 28 2018 - 2:00am,Mexico,Croatia,0,1,0,58,42,4,5,0,0,0,12,12,17,16
Apr 17 2018 - 11:30pm,Trinidad and Tobago,Panama,0,1,2,58,42,3,6,0,0,0,8,16,18,11
May 09 2018 - 6:30pm,Saudi Arabia,Algeria,2,0,2,56,44,3,2,0,5,0,8,6,20,19
May 15 2018 - 5:30pm,Saudi Arabia,Greece,2,0,3,50,50,3,4,0,0,1,10,10,-1,-1
May 20 2018 - 8:00pm,Jordan,Cyprus,3,0,0,39,61,8,7,0,2,0,12,12,10,13
May 25 2018 - 12:00pm,Kenya,Swaziland,0,1,1,57,43,8,5,0,0,0,18,8,8,15
May 25 2018 - 7:00pm,Kuwait,Egypt,1,1,1,50,50,4,3,0,3,0,6,8,6,18
May 28 2018 - 11:00am,South Korea,Honduras,2,0,0,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1
May 28 2018 - 12:00pm,Kenya,Equatorial Guinea,1,0,1,48,52,4,2,0,2,0,10,4,14,17
May 28 2018 - 4:00pm,Bosnia-Herzegovina,Montenegro,0,0,1,63,37,5,0,0,1,0,13,3,12,13
May 28 2018 - 6:15pm,Turkey,Iran,2,1,1,41,59,7,4,1,1,0,13,11,15,15
May 28 2018 - 6:45pm,Italy,Saudi Arabia,2,1,0,50,50,6,4,0,0,0,15,8,10,5
May 28 2018 - 6:45pm,Portugal,Tunisia,2,2,0,57,43,7,5,0,0,0,20,9,6,11
May 28 2018 - 7:00pm,France,Republic of Ireland,2,0,0,69,31,9,2,0,2,0,18,3,9,18
May 28 2018 - 10:30pm,USMNT,Bolivia,3,0,2,52,48,8,0,0,1,0,21,6,15,7
May 29 2018 - 1:00am,Mexico,Wales,0,0,1,65,35,5,0,0,1,0,14,2,8,12
May 29 2018 - 4:00pm,Azerbaijan,Kyrgyzstan,3,0,1,65,35,13,2,0,0,0,19,7,12,11
May 29 2018 - 5:00pm,Armenia,Malta,1,1,2,50,50,4,3,1,1,0,10,6,18,17
May 29 2018 - 11:00pm,Argentina,Haiti,4,0,0,71,29,10,0,0,2,0,17,2,8,12
May 30 2018 - 1:00am,Peru,Scotland,2,0,0,50,50,7,0,0,0,0,11,4,8,10
May 30 2018 - 10:25am,Japan,Ghana,0,2,1,56,44,9,3,0,0,0,21,9,15,13
May 30 2018 - 6:45pm,Austria,Russia,1,0,0,50,50,5,0,0,2,0,10,6,3,10
May 31 2018 - 2:00pm,Romania,Chile,3,2,3,50,50,6,6,0,1,1,14,13,20,13
May 31 2018 - 6:00pm,Luxembourg,Senegal,0,0,2,31,69,2,6,0,2,0,4,17,15,13
May 31 2018 - 6:00pm,Morocco,Ukraine,0,0,1,54,46,4,2,0,2,0,8,9,23,10
May 31 2018 - 6:45pm,Slovakia,Netherlands,1,1,0,53,47,4,11,0,1,0,9,20,7,18
Jun 01 2018 - 11:00am,South Korea,Bosnia-Herzegovina,1,3,1,50,50,5,6,0,2,0,9,10,17,13
Jun 01 2018 - 6:15pm,Tunisia,Turkey,2,2,2,55,45,5,4,0,1,1,7,7,6,10
Jun 01 2018 - 7:00pm,France,Italy,3,1,0,52,48,6,7,0,1,0,13,16,18,17
Jun 01 2018 - 7:15pm,Egypt,Colombia,0,0,0,33,67,3,6,0,0,0,7,17,20,9
Jun 02 2018 - 4:15pm,England,Nigeria,2,1,1,57,43,7,5,0,1,0,15,10,7,12
Jun 02 2018 - 5:40pm,Austria,Germany,2,1,0,39,61,6,4,0,0,0,11,5,12,8
Jun 02 2018 - 5:45pm,Sweden,Denmark,0,0,0,49,51,2,4,0,0,0,10,14,11,22
