date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots,away_team_shots,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_fouls,away_team_fouls
Jun 13 2021 - 12:00am,Mexico,Honduras,0,0,65,35,0,3,9,6,1,0,1,0,7,6
Jun 15 2021 - 7:30pm,Tunisia,Mali,1,0,61,39,4,2,15,4,2,0,4,2,15,19
Jul 01 2021 - 1:30am,Mexico,Panama,3,0,55,45,9,0,16,3,0,0,2,0,9,7
Jul 04 2021 - 3:00am,Mexico,Nigeria,4,0,84,16,10,0,15,4,1,0,1,0,5,4
Sep 01 2021 - 4:00pm,Finland,Wales,0,0,53,47,0,5,2,9,1,0,1,0,11,8
Sep 01 2021 - 4:00pm,Bahrain,Haiti,6,1,53,47,10,4,14,9,0,0,0,0,14,11
Sep 01 2021 - 6:45pm,Switzerland,Greece,2,1,49,51,4,4,10,12,0,0,2,0,12,9
Sep 01 2021 - 6:45pm,Qatar,Serbia,0,4,50,50,3,9,9,16,0,0,0,0,9,11
Sep 04 2021 - 4:45pm,Qatar,Portugal,1,3,28,72,3,9,6,18,2,2,1,0,7,11
Sep 04 2021 - 6:45pm,Bosnia-Herzegovina,Kuwait,1,0,63,37,6,4,15,9,1,0,3,0,11,7
Sep 05 2021 - 1:00pm,Sweden,Uzbekistan,2,1,56,44,8,7,17,16,1,0,1,0,9,13
Sep 05 2021 - 4:00pm,Estonia,Northern Ireland,0,1,53,47,4,3,13,8,2,0,2,0,12,10
Sep 07 2021 - 4:00pm,Bahrain,Jordan,1,2,60,40,4,9,10,11,1,0,2,0,9,11
Sep 07 2021 - 6:45pm,Luxembourg,Qatar,1,1,59,41,3,2,8,5,1,0,4,0,10,7
Sep 08 2021 - 4:30pm,Bulgaria,Georgia,4,1,42,58,8,4,9,12,3,0,3,0,20,18
Sep 08 2021 - 6:45pm,Czech Republic,Ukraine,1,1,63,37,6,4,18,7,2,0,1,0,14,11
Sep 30 2021 - 7:00pm,Egypt,Liberia,2,0,62,38,5,3,12,6,1,0,0,0,12,21
Oct 06 2021 - 3:00pm,Jordan,Malaysia,4,0,56,44,12,0,26,3,2,0,2,0,11,11
Oct 06 2021 - 4:00pm,Bahrain,Cura?ao,4,0,42,58,7,5,13,10,0,0,0,0,7,12
Oct 09 2021 - 3:00pm,Uzbekistan,Malaysia,5,1,63,37,10,3,19,4,0,0,0,0,13,13
Oct 09 2021 - 4:00pm,Cura?ao,New Zealand,1,2,59,41,8,7,11,12,2,0,3,0,10,21
Oct 09 2021 - 7:15pm,Portugal,Qatar,3,0,59,41,6,2,11,3,1,0,3,0,3,8
Oct 12 2021 - 2:00pm,Jordan,Uzbekistan,3,0,43,57,4,3,9,13,0,0,0,0,14,11
Oct 12 2021 - 4:00pm,Bahrain,New Zealand,0,1,45,55,6,9,11,15,0,0,0,0,10,16
Oct 12 2021 - 6:45pm,Republic of Ireland,Qatar,4,0,62,38,7,0,11,2,0,0,1,0,7,13
Oct 28 2021 - 1:00am,Mexico,Ecuador,2,3,67,33,10,4,19,6,1,0,1,0,8,13
Nov 06 2021 - 12:00am,El Salvador,Bolivia,0,1,46,54,4,7,15,14,1,0,1,0,20,15
Nov 10 2021 - 5:00pm,Kosovo,Jordan,0,2,60,40,5,6,14,7,2,0,2,1,11,15
Nov 11 2021 - 1:00am,Nicaragua,Cuba,0,3,58,42,3,6,6,8,1,1,2,0,13,21
Nov 11 2021 - 5:00pm,Serbia,Qatar,4,0,66,34,7,5,14,11,1,0,3,0,6,7
Nov 11 2021 - 5:30pm,Ukraine,Bulgaria,1,1,72,28,18,2,32,4,0,0,1,0,9,10
Nov 11 2021 - 5:30pm,Czech Republic,Kuwait,7,0,83,17,15,0,24,2,0,0,0,0,8,6
Nov 14 2021 - 12:00am,Nicaragua,Cuba,2,0,52,48,11,2,20,2,2,0,1,1,17,8
Nov 14 2021 - 5:00pm,Azerbaijan,Qatar,2,2,52,48,6,9,11,12,2,0,3,0,7,7
Nov 15 2021 - 2:00pm,Georgia,Uzbekistan,1,0,43,57,7,3,12,6,1,1,1,1,8,13
Nov 15 2021 - 5:00pm,Lithuania,Kuwait,1,1,56,44,8,5,16,10,3,0,3,0,27,18
Nov 16 2021 - 1:00pm,Kazakhstan,Tajikistan,1,0,44,56,3,3,7,11,3,0,6,0,20,8
Nov 16 2021 - 2:00pm,Afghanistan,Indonesia,1,0,50,50,4,2,8,7,1,0,0,0,14,7
Nov 16 2021 - 5:00pm,Belarus,Jordan,1,0,53,47,8,2,12,5,2,0,1,0,19,11
Nov 25 2021 - 2:30pm,Indonesia,Myanmar,4,1,43,57,9,6,15,13,1,0,4,0,13,19
Dec 09 2021 - 3:05am,Mexico,Chile,2,2,50,50,8,5,9,13,3,0,2,0,15,27
Dec 19 2021 - 1:00am,USMNT,Bosnia-Herzegovina,1,0,67,33,3,4,10,8,2,0,0,1,13,11
